Points:
(640.0, 817.0)
(795.0, 366.0)
(786.0, 880.0)
(808.0, 284.0)
(588.0, 209.0)
(481.0, 388.0)
(806.0, 914.0)
(867.0, 887.0)
(390.0, 851.0)
(354.0, 488.0)
(533.0, 747.0)
(586.0, 933.0)
(842.0, 326.0)
(344.0, 926.0)
(483.0, 71.0)
(142.0, 99.0)
(625.0, 901.0)
(911.0, 726.0)
(436.0, 467.0)
(163.0, 453.0)
(339.0, 402.0)
(380.0, 539.0)
(913.0, 872.0)
(649.0, 328.0)
(427.0, 712.0)
(601.0, 646.0)
(358.0, 593.0)
(950.0, 980.0)
(621.0, 216.0)
(550.0, 677.0)
(69.0, 192.0)
(44.0, 448.0)
(335.0, 766.0)
(63.0, 820.0)
(315.0, 944.0)
(497.0, 3.0)
(792.0, 328.0)
(607.0, 738.0)
(241.0, 758.0)
(996.0, 825.0)
(573.0, 328.0)
(475.0, 813.0)
(601.0, 970.0)
(92.0, 156.0)
(858.0, 669.0)
(388.0, 294.0)
(173.0, 90.0)
(15.0, 360.0)
(47.0, 647.0)
(364.0, 214.0)
(709.0, 198.0)
(980.0, 490.0)
(355.0, 257.0)
(950.0, 543.0)
(451.0, 942.0)
(859.0, 246.0)
(30.0, 55.0)
(840.0, 363.0)
(442.0, 819.0)
(418.0, 74.0)
(21.0, 555.0)
(978.0, 952.0)
(893.0, 658.0)
(856.0, 667.0)
(199.0, 333.0)
(948.0, 351.0)
(538.0, 38.0)
(711.0, 866.0)
(149.0, 47.0)
(147.0, 825.0)
(915.0, 420.0)
(641.0, 495.0)
(383.0, 113.0)
(4.0, 103.0)
(241.0, 536.0)
(657.0, 730.0)
(564.0, 483.0)
(876.0, 535.0)
(846.0, 613.0)
(247.0, 848.0)
(936.0, 79.0)
(14.0, 147.0)
(86.0, 870.0)
(184.0, 55.0)
(171.0, 366.0)
(447.0, 131.0)
(925.0, 296.0)
(973.0, 92.0)
(585.0, 12.0)
(640.0, 370.0)
(311.0, 367.0)
(354.0, 257.0)
(226.0, 249.0)
(960.0, 922.0)
(802.0, 343.0)
(740.0, 796.0)
(381.0, 535.0)
(897.0, 781.0)
(449.0, 509.0)
(34.0, 811.0)
